0236,國立成功大學,化學系,化x1.50 數甲x1.25 物x1.25 英x1.00 國x1.00,24,250.75,化學 44,-------,-------,-------,-------,-------
0237,國立成功大學,地球科學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,25,186.00,,-------,-------,-------,-------,-------
0240,國立成功大學,光電科學與工程學系,物x1.00 數甲x1.00 英x1.00 化x1.00 國x1.00,35,218.00,物理 37,-------,-------,-------,-------,-------
0241,國立成功大學,機械工程學系,數甲x2.00 物x2.00 英x1.00,70,192.00,數學甲 40,-------,-------,-------,-------,-------
0242,國立成功大學,機械工程學系(普渡雙聯組),數甲x1.00 物x1.00 英x1.00,4,139.00,數學甲 40,-------,-------,-------,-------,-------
0243,國立成功大學,化學工程學系,數甲x1.25 化x1.25 物x1.25 英x1.00 國x1.00,100,241.75,數學甲 44,-------,-------,-------,-------,-------
0244,國立成功大學,材料科學及工程學系,物x1.50 化x1.50 數Ax1.00 英x1.00 國x1.00,49,272.50,物理 45,-------,-------,-------,-------,-------
0245,國立成功大學,資源工程學系,數Ax1.00 物x1.00 化x1.00 英x1.00 國x1.00,39,193.00,,201.15,-------,-------,-------,-------
0246,國立成功大學,土木工程學系,數Ax1.00 物x1.00 英x1.00 國x1.00 化x1.00,68,191.00,數學A 43,195.75,-------,-------,-------,-------
0247,國立成功大學,水利及海洋工程學系,數甲x1.75 物x1.50 英x1.25 國x1.00,20,207.50,數學甲 38,-------,-------,-------,-------,-------
0250,國立成功大學,工程科學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,28,218.00,數學甲 35,-------,-------,-------,-------,-------
0251,國立成功大學,系統及船舶機電工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,20,202.00,,-------,-------,-------,-------,-------
0252,國立成功大學,航空太空工程學系,數甲x1.00 物x1.00 英x1.00 國x1.00,32,169.00,數學甲 32,-------,-------,-------,-------,-------
0253,國立成功大學,環境工程學系,數甲x1.00 物x1.00 化x1.00 英x1.00 國x1.00,31,194.00,數學甲 29,196.90,-------,-------,-------,-------
0254,國立成功大學,測量及空間資訊學系,數甲x2.00 物x2.00 英x2.00 國x1.00,22,266.00,數學甲 31,-------,-------,-------,-------,-------
0255,國立成功大學,生物醫學工程學系,數甲x1.00 物x1.00 英x1.00 化x1.00 國x1.00,20,210.00,數學甲 33,-------,-------,-------,-------,-------
0256,國立成功大學,工業與資訊管理學系,數甲x1.00 數Ax1.00 英x1.00 國x1.00 物x1.00,18,202.00,數學甲 43,-------,-------,-------,-------,-------
0257,國立成功大學,交通管理科學系,數甲x1.25 英x1.25 國x1.00 物x1.00,22,173.75,"數學甲 36
英文 43",-------,-------,-------,-------,-------
0260,國立成功大學,企業管理學系,英x2.00 數Bx2.00 國x1.00 公x1.00,27,294.00,英文 44,-------,-------,-------,-------,-------
0261,國立成功大學,統計學系,數甲x1.50 英x1.50 國x1.00,28,172.50,數學甲 35,-------,-------,-------,-------,-------
0262,國立成功大學,會計學系,英x2.00 數Bx2.00 國x1.00 公x1.00,29,299.00,英文 51,-------,-------,-------,-------,-------
0263,國立成功大學,醫學系(自費),數甲x1.00 生x1.00 化x1.00 物x1.00 英x1.00,27,271.00,"數學甲 53
生物 56",297.00,-------,-------,-------,-------
0264,國立成功大學,醫學系(公費),數甲x1.00 物x1.00 化x1.00 生x1.00 英x1.00,8,251.00,"數學甲 45
物理 49",-------,-------,-------,-------,-------
0265,國立成功大學,牙醫學系,數甲x1.00 英x1.00 生x1.00 化x1.00 物x1.00,12,259.00,數學甲 52,-------,264.60,-------,-------,-------
0266,國立成功大學,醫學檢驗生物技術學系,英x1.25 化x1.25 生x1.25 數甲x1.00 國x1.00,22,259.00,,-------,-------,-------,-------,-------
0267,國立成功大學,護理學系,生x1.50 英x1.50 化x1.00 國x1.00 數甲x1.00,21,251.50,,-------,-------,-------,-------,-------
0270,國立成功大學,職能治療學系,英x1.00 生x1.00 數Ax1.00 國x1.00 物x1.00,17,216.00,英文 54,-------,-------,216.25,-------,-------
0271,國立成功大學,物理治療學系,英x1.25 生x1.00 數甲x1.00 物x1.00 國x1.00,25,235.00,,-------,-------,-------,-------,-------
0272,國立成功大學,藥學系,化x1.25 生x1.00 國x1.00 英x1.00 數甲x1.00,13,270.50,,287.10,-------,-------,-------,-------
0273,國立成功大學,政治學系,英x1.25 國x1.25 數Bx1.00 公x1.00 歷x1.00,25,254.25,英文 45,-------,-------,-------,-------,-------
0274,國立成功大學,經濟學系(自然組),數甲x2.00 英x2.00 國x1.50,13,237.50,數學甲 27,-------,-------,-------,-------,-------
0275,國立成功大學,法律學系,公x1.00 國x1.00 英x1.00 歷x1.00 數Bx1.00,43,244.00,公民 51,-------,-------,-------,-------,-------
